,precision,recall,f1-score,support
//dir-685,1.0,1.0,1.0,3.0
//dir-825,1.0,1.0,1.0,266.0
//dir-827,1.0,1.0,1.0,4.0
//dir-835,1.0,1.0,1.0,8.0
//dir-850l,1.0,1.0,1.0,2.0
//dir-857,1.0,1.0,1.0,9.0
//dir-862l,1.0,1.0,1.0,9.0
//dir-866l,1.0,1.0,1.0,23.0
//dir-868l,1.0,1.0,1.0,2.0
//dm111pspv2,1.0,1.0,1.0,8.0
//dsl-2540u,1.0,1.0,1.0,2.0
//dsl-2640b,1.0,1.0,1.0,20.0
//dsl-2640u,1.0,1.0,1.0,19.0
//dsl-2641b,1.0,1.0,1.0,2.0
//dsl-2750b,1.0,1.0,1.0,14.0
//dsl-2750u,1.0,1.0,1.0,323.0
//dsl-502t,1.0,1.0,1.0,5.0
//dsl-526b,1.0,1.0,1.0,1.0
//e1000,1.0,1.0,1.0,3.0
//e1200,1.0,1.0,1.0,4.0
//e1500,1.0,1.0,1.0,2.0
//e2000,1.0,1.0,1.0,4.0
//e2100l,1.0,1.0,1.0,6.0
//e2500,1.0,1.0,1.0,61.0
//e260dn,1.0,1.0,1.0,2.0
//e3000,1.0,1.0,1.0,3.0
//e3200,1.0,1.0,1.0,2.0
//e3e02a,0.7931034482758621,1.0,0.8846153846153846,23.0
//e4200,1.0,1.0,1.0,17.0
//e4w43a,0.775,1.0,0.8732394366197184,31.0
//e4w44a,0.7096774193548387,1.0,0.8301886792452831,22.0
//e4w47a,0.6666666666666666,1.0,0.8,4.0
//e709a,1.0,1.0,1.0,1.0
//e709n,1.0,1.0,1.0,3.0
//e809a,1.0,1.0,1.0,2.0
//e900,1.0,1.0,1.0,1.0
//ea2700,1.0,1.0,1.0,8.0
//ecor960-16x1,1.0,1.0,1.0,18.0
//envy 4510 series,0.0,0.0,0.0,6.0
//envy 4520 series,1.0,0.7368421052631579,0.8484848484848484,38.0
//envy 5530 series,1.0,0.1,0.18181818181818182,10.0
//envy 5540 series,1.0,0.7,0.8235294117647058,10.0
//envy 5640 series,0.0,0.0,0.0,6.0
//envy 5660 series,1.0,0.1,0.18181818181818182,10.0
//envy 7640 series,0.0,0.0,0.0,20.0
//ews-nic3,1.0,1.0,1.0,3.0
//ews-nic5,1.0,1.0,1.0,58.0
//ex2700,1.0,1.0,1.0,1.0
//ex3200-24t,1.0,1.0,1.0,6.0
//ex3200-48t,1.0,1.0,1.0,8.0
//ex3300-24t,1.0,1.0,1.0,12.0
//ex4300-24t,1.0,1.0,1.0,5.0
//ex4300-48p,1.0,1.0,1.0,2.0
//ex4300-48t,1.0,1.0,1.0,15.0
//ex4550-32f,1.0,1.0,1.0,12.0
//f0v70b,1.0,1.0,1.0,1.0
//f0v71b,0.6666666666666666,1.0,0.8,4.0
//f0v72b,0.5,1.0,0.6666666666666666,1.0
//f1h96a,1.0,1.0,1.0,1.0
//f1h97a,1.0,1.0,1.0,6.0
//f1h97c,1.0,1.0,1.0,8.0
//f1j00a,0.6875,1.0,0.8148148148148148,11.0
//f1j03a,0.7142857142857143,1.0,0.8333333333333333,45.0
//f1j04a,1.0,1.0,1.0,1.0
//f4500,1.0,1.0,1.0,1.0
//f8b04a,0.7272727272727273,1.0,0.8421052631578948,24.0
//flirt4free,1.0,1.0,1.0,6.0
//fr40,1.0,1.0,1.0,1.0
//fs728tp,1.0,1.0,1.0,18.0
//g1w52a,1.0,1.0,1.0,1.0
//g3100,1.0,1.0,1.0,3.0
//g3110-hspa,1.0,1.0,1.0,2.0
//g3111,1.0,1.0,1.0,8.0
//g3150-hsdpa,1.0,1.0,1.0,2.0
//g8000,1.0,1.0,1.0,1.0
//gs108t,1.0,1.0,1.0,5.0
//gs110tp,1.0,1.0,1.0,19.0
//gs510tp,1.0,1.0,1.0,1.0
//gs724t,1.0,1.0,1.0,4.0
//gs724tv4,1.0,1.0,1.0,1.0
//gs748tv5,1.0,1.0,1.0,2.0
//gt-ac5300,1.0,1.0,1.0,485.0
//h108n,1.0,1.0,1.0,1.0
//h264,1.0,1.0,1.0,65.0
//h267a,1.0,1.0,1.0,2.0
//hg532e,1.0,1.0,1.0,393.0
//hikvision-webs,1.0,0.9993153029784321,0.9996575342465753,2921.0
//hl-2270dw,1.0,1.0,1.0,8.0
//hl-2280dw,1.0,1.0,1.0,2.0
//hl-4150cdn,1.0,1.0,1.0,2.0
//hl-5250dn,1.0,1.0,1.0,2.0
//html5,1.0,1.0,1.0,20.0
//ig7600,1.0,1.0,1.0,3.0
//ipv4,1.0,0.5,0.6666666666666666,2.0
//ipv6,1.0,1.0,1.0,54.0
//ix2105,1.0,1.0,1.0,14.0
//j2d37a,1.0,1.0,1.0,2.0
//j6u61b,0.75,1.0,0.8571428571428571,6.0
//j6u69a,1.0,1.0,1.0,2.0
//j6u70b,1.0,1.0,1.0,2.0
//j7k36a,0.6666666666666666,1.0,0.8,8.0
//j9279a,1.0,1.0,1.0,2.0
//j9v80b,1.0,1.0,1.0,4.0
//j9v90a,0.6666666666666666,1.0,0.8,2.0
//j9v91a,0.5,1.0,0.6666666666666666,1.0
//j9v95b,1.0,1.0,1.0,1.0
//jffs2,0.5384615384615384,1.0,0.7000000000000001,7.0
//k4t93a,0.5,1.0,0.6666666666666666,1.0
//k4t99b,1.0,1.0,1.0,1.0
//k4u00b,0.4,1.0,0.5714285714285715,2.0
//k7c85a,0.7692307692307693,1.0,0.8695652173913044,10.0
//k7g86a,1.0,1.0,1.0,1.0
//k7v40a,0.6153846153846154,1.0,0.761904761904762,48.0
//k7v45b,0.875,1.0,0.9333333333333333,7.0
//k9b54a,0.5,1.0,0.6666666666666666,1.0
//k9h49a,0.0,0.0,0.0,3.0
//k9h50a,0.6666666666666666,1.0,0.8,2.0
//k9h52a,0.5,1.0,0.6666666666666666,1.0
//k9t05b,0.8333333333333334,1.0,0.9090909090909091,5.0
//k9t07b,0.5,1.0,0.6666666666666666,2.0
//k9t09b,0.6,1.0,0.7499999999999999,3.0
//lan-72mbps,1.0,1.0,1.0,1.0
//laserjet 200 color m251nw,1.0,0.8333333333333334,0.9090909090909091,6.0
//laserjet 200 colormfp m276nw,1.0,0.9230769230769231,0.9600000000000001,13.0
//laserjet 400 color m451dn,0.0,0.0,0.0,27.0
//laserjet 400 color m451dw,0.0,0.0,0.0,5.0
//laserjet 400 color m451nw,0.0,0.0,0.0,6.0
//laserjet 400 colormfp m475dn,0.0,0.0,0.0,8.0
//laserjet 400 m401dn,1.0,0.8484848484848485,0.9180327868852458,33.0
//laserjet 400 m401dne,1.0,0.9310344827586207,0.9642857142857143,29.0
//laserjet 400 m401n,1.0,0.8666666666666667,0.9285714285714286,15.0
//laserjet 400 mfp m425dn,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
//laserjet 500 colormfp m570dn,0.0,0.0,0.0,10.0
//laserjet mfp m130fn,1.0,1.0,1.0,7.0
//laserjet mfp m130fw,1.0,1.0,1.0,11.0
//laserjet mfp m227fdn,1.0,1.0,1.0,6.0
//laserjet mfp m227fdw,1.0,1.0,1.0,15.0
//laserjet mfp m426dw,1.0,1.0,1.0,6.0
//laserjet mfp m426fdn,1.0,1.0,1.0,26.0
//laserjet mfp m426fdw,1.0,1.0,1.0,26.0
//laserjet p2055dn,0.0,0.0,0.0,89.0
//laserjet p2055x,1.0,1.0,1.0,8.0
//laserjet pro m201dw,1.0,1.0,1.0,6.0
//laserjet pro m501dn,1.0,1.0,1.0,14.0
//laserjet pro m706n,1.0,1.0,1.0,5.0
//laserjet pro mfp m225dw,1.0,1.0,1.0,6.0
//laserjet pro mfp m521 series,0.0,0.0,0.0,0.0
//laserjet pro mfp m521dn,1.0,1.0,1.0,7.0
//m1054,1.0,1.0,1.0,2.0
//m10i,1.0,1.0,1.0,1.0
//m251nw,0.0,0.0,0.0,0.0
//m274n,1.0,1.0,1.0,2.0
