,precision,recall,f1-score,support
/hp/color laserjet mfp m476dn,0.0,0.0,0.0,6.0
/hp/color laserjet mfp m476dw,0.0,0.0,0.0,6.0
/hp/color laserjet mfp m477fdn,1.0,1.0,1.0,36.0
/hp/color laserjet mfp m477fdw,1.0,1.0,1.0,43.0
/hp/color laserjet mfp m477fnw,1.0,1.0,1.0,18.0
/hp/cq877a,1.0,1.0,1.0,1.0
/hp/cq877b,1.0,1.0,1.0,1.0
/hp/cr769a,0.9090909090909091,1.0,0.9523809523809523,10.0
/hp/cr770a,1.0,1.0,1.0,5.0
/hp/cv078a,0.5714285714285714,1.0,0.7272727272727273,4.0
/hp/cx017a,1.0,1.0,1.0,6.0
/hp/cx017b,1.0,1.0,1.0,3.0
/hp/cx042a,0.6666666666666666,1.0,0.8,4.0
/hp/cx042b,0.8571428571428571,1.0,0.923076923076923,6.0
/hp/cx052b,1.0,1.0,1.0,2.0
/hp/cz284b,1.0,1.0,1.0,2.0
/hp/d3q16b,1.0,1.0,1.0,2.0
/hp/d3q19a,1.0,1.0,1.0,3.0
/hp/d3q20a,0.47368421052631576,0.8181818181818182,0.6,11.0
/hp/d3q20b,0.7058823529411765,1.0,0.8275862068965517,48.0
/hp/d9l19a,0.6756756756756757,1.0,0.8064516129032258,25.0
/hp/deskjet 2540 series,1.0,0.875,0.9333333333333333,8.0
/hp/deskjet 2600 series,1.0,1.0,1.0,25.0
/hp/deskjet 3540 series,1.0,1.0,1.0,6.0
/hp/deskjet 3630 series,1.0,0.7894736842105263,0.8823529411764706,19.0
/hp/deskjet 3700 series,1.0,0.9,0.9473684210526316,10.0
/hp/deskjet 3830 series,1.0,1.0,1.0,6.0
/hp/deskjet 4530 series,1.0,1.0,1.0,7.0
/hp/e3e02a,0.7931034482758621,1.0,0.8846153846153846,23.0
/hp/e4w43a,0.775,1.0,0.8732394366197184,31.0
/hp/e4w44a,0.7096774193548387,1.0,0.8301886792452831,22.0
/hp/e4w47a,0.6666666666666666,1.0,0.8,4.0
/hp/e709a,1.0,1.0,1.0,1.0
/hp/e709n,1.0,1.0,1.0,3.0
